TF pct ,,,0.9697,,,Run t distribution,result:,parameter 1,parameter 2,parameter 3
-0.003144654,-9.5283E-05,3.00E-07,-5.83E+00,,,,,0.0399,0.9142,8.2444
-0.012302839,-0.000465172,4.88E-06,-5.70E+00,,,upper tail-99.5%,3.0813,,,
0.007026509,-0.000238174,6.22E-06,2.83E+00,,,lower tail-0.5%,-3.0014,,,
-0.007928957,-0.000471205,7.94E-06,-2.85E+00,,,larger number,3.0813,,,
0.0092711,-0.000176013,1.03E-05,2.89E+00,,,,,,,
0.011086475,0.00016524,1.37E-05,3.00E+00,,,Return,7.54E-02,,,
-0.013471178,-0.000247943,1.88E-05,-3.11E+00,,,last settlement,664,,,
0.003175611,-0.000144209,1.85E-05,7.38E-01,,,suggested margin," 5,007 ",,,
0.00918012,0.000138318,2.05E-05,2.03E+00,,,,,,,
0.005959849,0.00031471,2.10E-05,1.30E+00,,,,,,,
0.00330527,0.000405324,2.07E-05,7.30E-01,,,,,,,
0.008826455,0.000660484,2.24E-05,1.88E+00,,,,,,,
0.000924214,0.000668475,2.18E-05,2.00E-01,,,,,,,
-0.000615574,0.000629569,2.11E-05,-1.35E-01,,,,,,,
0.00184786,0.000666483,2.06E-05,4.12E-01,,,,,,,
0.009222256,0.000925723,2.25E-05,1.98E+00,,,,,,,
-0.001827597,0.000842297,2.19E-05,-3.97E-01,,,,,,,
-0.009459872,0.000530142,2.40E-05,-1.94E+00,,,,,,,
-0.003080715,0.000420733,2.36E-05,-6.37E-01,,,,,,,
0.008034611,0.000651433,2.48E-05,1.63E+00,,,,,,,
0.00030656,0.000640984,2.40E-05,6.31E-02,,,,,,,
0.000612933,0.000640134,2.33E-05,1.28E-01,,,,,,,
0.005819296,0.000797062,2.36E-05,1.21E+00,,,,,,,
0.007612667,0.001003575,2.47E-05,1.56E+00,,,,,,,
0.001511031,0.001018951,2.40E-05,3.15E-01,,,,,,,
0.003319252,0.00108865,2.36E-05,7.01E-01,,,,,,,
-0.005112782,0.000900747,2.37E-05,-1.07E+00,,,,,,,
-0.00241838,0.000800177,2.32E-05,-5.10E-01,,,,,,,
-0.045757576,-0.000610523,8.59E-05,-4.95E+00,,,,,,,
0.009463322,-0.000305285,8.60E-05,1.02E+00,,,,,,,
-0.005599597,-0.000465703,8.43E-05,-6.10E-01,,,,,,,
-0.020563113,-0.001074654,9.46E-05,-2.13E+00,,,,,,,
-0.018087855,-0.001590154,1.02E-04,-1.82E+00,,,,,,,
0.024342105,-0.000804407,1.17E-04,2.26E+00,,,,,,,
-0.004495825,-0.000916257,1.14E-04,-4.23E-01,,,,,,,
